
date,zone_id,hyacinth_coverage_pct,hyacinth_status,avg_water_temp,avg_pH,avg_TDS,avg_turbidity,avg_DO,avg_air_temp,avg_humidity,total_rainfall,avg_wind_speed,coverage_yesterday,coverage_7_days_ago,rolling_avg_coverage_last_7_days,num_sensors_active,data_completeness_pct
2025-06-01,North,17.5,Good,23.31,6.13,162.2,19.63,8.65,27.75,75.5,9.44,2.39,17.5,17.5,17.48,2,96.98
2025-06-02,North,14.6,Good,27.22,6.47,151.2,6.82,8.55,17.22,57.6,4.03,17.92,17.5,14.6,16.02,1,86.29
2025-06-03,North,18.7,Good,25.09,7.82,149.9,23.47,8.78,19.58,43.1,5.8,3.22,14.6,18.7,16.93,2,92.49
2025-06-04,North,23.4,Good,22.96,6.21,191.3,14.83,7.08,32.67,53.0,2.44,7.13,18.7,23.4,18.54,2,82.2
2025-06-05,North,14.8,Good,22.28,6.85,263.6,43.73,5.03,25.21,56.7,4.44,2.4,23.4,14.8,17.8,4,84.88
2025-06-06,North,15.1,Good,21.68,6.44,211.6,23.17,5.32,20.08,49.9,13.93,14.25,14.8,15.1,17.35,1,85.7
2025-06-07,North,24.4,Good,20.37,7.22,200.5,7.32,6.39,33.17,49.6,2.9,9.79,15.1,24.4,18.36,4,91.06
2025-06-08,North,20.6,Good,25.93,6.16,173.9,15.9,9.02,24.41,79.3,7.98,16.33,24.4,17.5,18.81,4,96.71
2025-06-09,North,14.7,Good,23.21,6.37,108.2,31.59,8.39,15.33,60.5,4.53,12.9,20.6,14.6,18.83,4,98.81
2025-06-10,North,20.0,Good,23.98,7.04,267.5,35.41,8.68,19.18,61.7,13.92,4.57,14.7,18.7,19.01,4,96.34
2025-06-11,North,15.2,Good,25.55,7.06,148.4,9.19,9.49,33.01,65.3,6.78,6.98,20.0,23.4,17.84,4,96.93
2025-06-12,North,15.5,Good,28.56,6.81,277.6,43.29,9.68,30.71,66.8,11.61,7.45,15.2,14.8,17.93,1,93.27
2025-06-13,North,19.3,Good,20.05,6.32,209.7,36.14,8.26,19.49,68.5,4.74,6.51,15.5,15.1,18.53,4,87.33
2025-06-14,North,8.7,Good,27.44,7.44,161.6,29.41,7.54,27.73,50.0,11.8,19.58,19.3,24.4,16.29,3,97.84
2025-06-15,North,9.9,Good,26.31,7.59,200.5,30.96,7.46,18.9,68.9,5.62,0.49,8.7,20.6,14.76,1,80.87
2025-06-16,North,16.0,Good,29.95,6.94,155.9,44.76,8.74,34.06,53.2,11.06,11.45,9.9,14.7,14.95,4,97.06
2025-06-17,North,14.0,Good,22.94,6.77,270.2,19.26,5.85,26.14,77.4,13.92,11.4,16.0,20.0,14.09,4,84.18
2025-06-18,North,20.9,Good,26.71,6.72,150.8,18.29,6.61,31.97,45.5,14.18,11.06,14.0,15.2,14.9,2,96.19
2025-06-19,North,15.0,Good,28.1,7.73,282.6,28.01,7.51,30.97,66.0,14.04,15.92,20.9,15.5,14.84,4,97.73
2025-06-20,North,12.8,Good,20.28,7.16,187.7,35.24,6.64,18.1,79.3,16.78,17.21,15.0,19.3,13.91,1,80.75
2025-06-21,North,27.4,Warning,28.23,6.72,125.4,28.5,8.85,19.32,64.9,1.71,1.03,12.8,8.7,16.58,4,88.23
2025-06-22,North,19.2,Good,27.0,6.28,126.5,48.63,8.57,15.82,56.0,8.67,14.88,27.4,9.9,17.9,2,80.51
2025-06-23,North,20.9,Good,29.63,7.67,239.2,23.4,5.87,18.13,50.0,10.98,14.29,19.2,16.0,18.61,4,98.69
2025-06-24,North,13.7,Good,26.38,7.03,231.4,24.61,8.65,15.95,62.6,3.17,2.4,20.9,14.0,18.57,1,82.32
2025-06-25,North,18.4,Good,20.46,6.08,271.1,36.66,7.37,16.96,59.7,9.47,3.46,13.7,20.9,18.21,2,93.0
2025-06-26,North,21.9,Good,20.48,7.9,277.3,16.74,5.08,33.67,60.0,10.79,13.68,18.4,15.0,19.19,4,81.41
2025-06-27,North,15.9,Good,26.42,6.05,217.2,47.31,7.88,22.76,65.7,9.17,10.91,21.9,12.8,19.63,1,92.52
2025-06-28,North,23.7,Good,28.2,7.3,141.3,17.33,6.07,22.55,41.6,12.37,6.73,15.9,27.4,19.11,2,86.38
2025-06-29,North,19.1,Good,28.45,6.05,262.9,17.68,5.59,28.93,65.2,17.55,14.7,23.7,19.2,19.09,1,99.35
